,model,y_true,y_pred,abs_error,tag
1451,LightGBM,440.0000,157.6936,282.3064,worst
1053,LightGBM,400.0000,164.8835,235.1165,worst
1125,LightGBM,250.0000,94.8586,155.1414,worst
29,LightGBM,380.0000,236.3759,143.6241,worst
30,LightGBM,380.0000,236.3759,143.6241,worst
56,LightGBM,260.0000,259.9849,0.0151,best
796,LightGBM,17.0000,17.0415,0.0415,best
1678,LightGBM,135.0000,135.0716,0.0716,best
1684,LightGBM,135.0000,135.0716,0.0716,best
909,LightGBM,170.0000,169.9278,0.0722,best
1390,LightGBM,21.0000,33.1825,12.1825,median
1155,LightGBM,160.0000,147.9008,12.0992,median
1265,LightGBM,150.0000,137.9055,12.0945,median
78,LightGBM,15.0000,27.2433,12.2433,median
1036,LightGBM,18.0000,29.9329,11.9329,median
1451,GBDT,440.0000,145.0088,294.9912,worst
1114,GBDT,250.0000,80.8562,169.1438,worst
1478,GBDT,350.0000,198.0621,151.9379,worst
32,GBDT,200.0000,327.6569,127.6569,worst
1631,GBDT,250.0000,154.5342,95.4658,worst
1440,GBDT,145.0000,145.0088,0.0088,best
999,GBDT,170.0000,169.8849,0.1151,best
997,GBDT,170.0000,169.8849,0.1151,best
470,GBDT,240.0000,239.8817,0.1183,best
1225,GBDT,20.0000,20.1577,0.1577,best
126,GBDT,15.0000,6.1328,8.8672,median
738,GBDT,200.0000,209.1473,9.1473,median
896,GBDT,150.0000,159.1590,9.1590,median
1367,GBDT,140.0000,149.2650,9.2650,median
1518,GBDT,18.0000,27.3107,9.3107,median
1451,XGBoost,440.0000,147.0351,292.9649,worst
1478,XGBoost,350.0000,166.7538,183.2462,worst
1114,XGBoost,250.0000,133.8477,116.1523,worst
1053,XGBoost,400.0000,312.5675,87.4325,worst
1631,XGBoost,250.0000,163.2651,86.7349,worst
1644,XGBoost,18.0000,17.8954,0.1046,best
1225,XGBoost,20.0000,19.8743,0.1257,best
1227,XGBoost,20.0000,19.8743,0.1257,best
1228,XGBoost,20.0000,19.8743,0.1257,best
1653,XGBoost,18.0000,18.1304,0.1304,best
15,XGBoost,160.0000,149.1771,10.8229,median
695,XGBoost,17.0000,27.9760,10.9760,median
699,XGBoost,17.0000,27.9760,10.9760,median
758,XGBoost,175.0000,164.0164,10.9836,median
189,XGBoost,15.0000,26.1205,11.1205,median
